일자,요일,확진자수
2023-01-01,일,1655
2023-01-02,월,739
2023-01-03,화,2364
2023-01-04,수,2191
2023-01-05,목,1726
2023-01-06,금,1653
2023-01-07,토,1520
2023-01-08,일,1272
2023-01-09,월,625
2023-01-10,화,1777
2023-01-11,수,1494
2023-01-12,목,1271
2023-01-13,금,1138
2023-01-14,토,1038
2023-01-15,일,915
2023-01-16,월,430
2023-01-17,화,1173
2023-01-18,수,1020
2023-01-19,목,886
2023-01-20,금,763
2023-01-21,토,801
2023-01-22,일,467
2023-01-23,월,335
2023-01-24,화,403
2023-01-25,수,618
2023-01-26,목,1019
2023-01-27,금,892
2023-01-28,토,614
2023-01-29,일,500
2023-01-30,월,201
2023-01-31,화,549
2023-02-01,수,571
2023-02-02,목,444
2023-02-03,금,413
2023-02-04,토,372
2023-02-05,일,353
2023-02-06,월,151
2023-02-07,화,431
2023-02-08,수,480
2023-02-09,목,332
2023-02-10,금,340
2023-02-11,토,317
2023-02-12,일,253
2023-02-13,월,129
2023-02-14,화,385
2023-02-15,수,351
2023-02-16,목,290
2023-02-17,금,265
2023-02-18,토,282
2023-02-19,일,235
2023-02-20,월,143
2023-02-21,화,316
2023-02-22,수,265
2023-02-23,목,241
2023-02-24,금,262
2023-02-25,토,280
2023-02-26,일,258
2023-02-27,월,111
2023-02-28,화,290
2023-03-01,수,320
2023-03-02,목,192
2023-03-03,금,287
2023-03-04,토,299
2023-03-05,일,304
2023-03-06,월,122
2023-03-07,화,360
2023-03-08,수,361
2023-03-09,목,316
2023-03-10,금,318
2023-03-11,토,304
2023-03-12,일,354
2023-03-13,월,150
2023-03-14,화,423
2023-03-15,수,401
2023-03-16,목,323
2023-03-17,금,300
2023-03-18,토,325
2023-03-19,일,269
2023-03-20,월,142
2023-03-21,화,480
2023-03-22,수,419
2023-03-23,목,391
2023-03-24,금,425
2023-03-25,토,394
2023-03-26,일,323
2023-03-27,월,148
2023-03-28,화,446
2023-03-29,수,403
2023-03-30,목,384
2023-03-31,금,323
2023-04-01,토,343
2023-04-02,일,310
2023-04-03,월,132
2023-04-04,화,470
2023-04-05,수,476
2023-04-06,목,379
2023-04-07,금,349
2023-04-08,토,278
2023-04-09,일,274
2023-04-10,월,87
2023-04-11,화,333
2023-04-12,수,367
2023-04-13,목,350
2023-04-14,금,370
2023-04-15,토,334
2023-04-16,일,301
2023-04-17,월,139
2023-04-18,화,471
2023-04-19,수,489
2023-04-20,목,443
2023-04-21,금,421
2023-04-22,토,451
2023-04-23,일,351
2023-04-24,월,141
2023-04-25,화,485
2023-04-26,수,446
2023-04-27,목,373
2023-04-28,금,405
2023-04-29,토,416
2023-04-30,일,435
2023-05-01,월,155
2023-05-02,화,490
2023-05-03,수,666
2023-05-04,목,619
2023-05-05,금,582
2023-05-06,토,298
2023-05-07,일,471
2023-05-08,월,228
2023-05-09,화,677
2023-05-10,수,703
2023-05-11,목,591
2023-05-12,금,607
2023-05-13,토,570
2023-05-14,일,537
2023-05-15,월,182
2023-05-16,화,773
2023-05-17,수,719
2023-05-18,목,636
2023-05-19,금,638
2023-05-20,토,488
2023-05-21,일,517
2023-05-22,월,237
2023-05-23,화,639
2023-05-24,수,652
2023-05-25,목,565
2023-05-26,금,469
2023-05-27,토,460
2023-05-28,일,338
2023-05-29,월,227
2023-05-30,화,409
2023-05-31,수,701
2023-06-01,목,635
2023-06-02,금,630
2023-06-03,토,491
2023-06-04,일,438
2023-06-05,월,169
2023-06-06,화,578
2023-06-07,수,394
2023-06-08,목,591
2023-06-09,금,510
2023-06-10,토,437
2023-06-11,일,409
2023-06-12,월,104
2023-06-13,화,505
2023-06-14,수,491
2023-06-15,목,393
2023-06-16,금,397
2023-06-17,토,388
2023-06-18,일,338
2023-06-19,월,152
2023-06-20,화,569
2023-06-21,수,503
2023-06-22,목,456
2023-06-23,금,406
2023-06-24,토,422
2023-06-25,일,414
2023-06-26,월,137
2023-06-27,화,554
2023-06-28,수,552
2023-06-29,목,483
2023-06-30,금,488
2023-07-01,토,493
2023-07-02,일,452
2023-07-03,월,210
2023-07-04,화,726
2023-07-05,수,742
2023-07-06,목,655
2023-07-07,금,696
2023-07-08,토,706
2023-07-09,일,594
2023-07-10,월,293
2023-07-11,화,1096
2023-07-12,수,971
2023-07-13,목,902
2023-07-14,금,948
2023-07-15,토,881
2023-07-16,일,809
2023-07-17,월,299
2023-07-18,화,1476
2023-07-19,수,1406
2023-07-20,목,1279
2023-07-21,금,1267
2023-07-22,토,1326
2023-07-23,일,1256
2023-07-24,월,408
2023-07-25,화,1670
2023-07-26,수,1738
2023-07-27,목,1677
2023-07-28,금,1489
2023-07-29,토,1569
2023-07-30,일,1486
2023-07-31,월,484
2023-08-01,화,2256
2023-08-02,수,2030
2023-08-03,목,1837
2023-08-04,금,1795
2023-08-05,토,1707
2023-08-06,일,1717
2023-08-07,월,594
2023-08-08,화,2232
2023-08-09,수,2100
2023-08-10,목,1795
2023-08-11,금,1571
2023-08-12,토,1604
2023-08-13,일,1504
2023-08-14,월,395
2023-08-15,화,1640
2023-08-16,수,1142
2023-08-17,목,1790
2023-08-18,금,1726
2023-08-19,토,1360
2023-08-20,일,1262
2023-08-21,월,396
2023-08-22,화,1525
2023-08-23,수,1570
2023-08-24,목,1250
2023-08-25,금,1204
2023-08-26,토,1055
2023-08-27,일,1046
2023-08-28,월,410
2023-08-29,화,1453
2023-08-30,수,1248
2023-08-31,목,1084
